"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 18:10:40 GMT 2024","Thu May 30 18:10:57 GMT 2024","17012","Surefire suite","Surefire test","com.luma.palywright.SignInTest","com.luma.palywright.SignInTest","testSingIn","testSingIn",""
"passed","Thu May 30 18:12:33 GMT 2024","Thu May 30 18:12:39 GMT 2024","5703","Surefire suite","Surefire test","com.luma.selenium.SignUpPageTest","com.luma.selenium.SignUpPageTest","testSignInUser","testSignInUser",""
"unknown","Thu May 30 18:10:40 GMT 2024","Thu May 30 18:10:40 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.MenPageTest","com.luma.selenium.MenPageTest","testVerifyingMenLinkIsDisplayedClickableRedirectionInTheMainPage","testVerifyingMenLinkIsDisplayedClickableRedirectionInTheMainPage",""
"passed","Thu May 30 18:11:33 GMT 2024","Thu May 30 18:11:39 GMT 2024","5381","Surefire suite","Surefire test","com.luma.palywright.LumaHomeNavigationTest","com.luma.palywright.LumaHomeNavigationTest","testNamesWomenSection","testNamesWomenSection",""
"unknown","Thu May 30 18:10:40 GMT 2024","Thu May 30 18:10:40 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.CartTest","com.luma.selenium.CartTest","testCartPricing","testCartPricing",""
"passed","Thu May 30 18:11:39 GMT 2024","Thu May 30 18:11:43 GMT 2024","3344","Surefire suite","Surefire test","com.luma.palywright.LumaHomeNavigationTest","com.luma.palywright.LumaHomeNavigationTest","testNavigationBar","testNavigationBar",""
"passed","Thu May 30 18:10:57 GMT 2024","Thu May 30 18:11:20 GMT 2024","22406","Surefire suite","Surefire test","com.luma.palywright.CreateAccountPlaywrightPageTest","com.luma.palywright.CreateAccountPlaywrightPageTest","testSignInUser","testSignInUser",""
"passed","Thu May 30 18:11:20 GMT 2024","Thu May 30 18:11:33 GMT 2024","12932","Surefire suite","Surefire test","com.luma.palywright.VerifyDescendingSortByPriceTest","com.luma.palywright.VerifyDescendingSortByPriceTest","testDescendingSortByPrice","testDescendingSortByPrice",""
"passed","Thu May 30 18:12:40 GMT 2024","Thu May 30 18:12:41 GMT 2024","689","Surefire suite","Surefire test","com.luma.selenium.SignInSeleniumTest","com.luma.selenium.SignInSeleniumTest","testSign","testSign",""
"unknown","Thu May 30 18:10:40 GMT 2024","Thu May 30 18:10:40 GMT 2024","1","Surefire suite","Surefire test","com.luma.selenium.AddressBookPageTest","com.luma.selenium.AddressBookPageTest","testAddressBookPage","testAddressBookPage",""
"passed","Thu May 30 18:12:44 GMT 2024","Thu May 30 18:12:45 GMT 2024","844","Surefire suite","Surefire test","com.luma.selenium.LoginPageTest","com.luma.selenium.LoginPageTest","testNavigationBar","testNavigationBar",""
"passed","Thu May 30 18:12:39 GMT 2024","Thu May 30 18:12:40 GMT 2024","736","Surefire suite","Surefire test","com.luma.selenium.SearchBoxTest","com.luma.selenium.SearchBoxTest","testFindBackPack","testFindBackPack",""
"passed","Thu May 30 18:12:45 GMT 2024","Thu May 30 18:12:49 GMT 2024","3700","Surefire suite","Surefire test","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","testDescendingSortByPrice","testDescendingSortByPrice",""
"unknown","Thu May 30 18:10:40 GMT 2024","Thu May 30 18:10:40 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.WishlistPageTest","com.luma.selenium.WishlistPageTest","testAddRandomProductToWishlist","testAddRandomProductToWishlist",""
"unknown","Thu May 30 18:10:40 GMT 2024","Thu May 30 18:10:40 GMT 2024","0","Surefire suite","Surefire test","com.luma.api.MagentoApiTest","com.luma.api.MagentoApiTest","testGetCustomerInfo","testGetCustomerInfo",""
"passed","Thu May 30 18:12:41 GMT 2024","Thu May 30 18:12:44 GMT 2024","2562","Surefire suite","Surefire test","com.luma.selenium.SignInSeleniumTest","com.luma.selenium.SignInSeleniumTest","testSignIn","testSignIn",""
"passed","Thu May 30 18:12:49 GMT 2024","Thu May 30 18:12:50 GMT 2024","677","Surefire suite","Surefire test","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","com.luma.selenium.VerifyDescendingSortByPriceSeleniumTest","testSelenium","testSelenium",""
"passed","Thu May 30 18:11:48 GMT 2024","Thu May 30 18:12:21 GMT 2024","33321","Surefire suite","Surefire test","com.luma.palywright.NavigationPlaywrightPageTest","com.luma.palywright.NavigationPlaywrightPageTest","testNavigateToMenuItems","testNavigateToMenuItems",""
"unknown","Thu May 30 18:10:40 GMT 2024","Thu May 30 18:10:40 GMT 2024","0","Surefire suite","Surefire test","com.luma.palywright.LumaHomeNavigationTest","com.luma.palywright.LumaHomeNavigationTest","testWomenSectionButtonsClickable","testWomenSectionButtonsClickable",""
"passed","Thu May 30 18:11:43 GMT 2024","Thu May 30 18:11:47 GMT 2024","3484","Surefire suite","Surefire test","com.luma.palywright.HomeTest","com.luma.palywright.HomeTest","testPlaywrightHome","testPlaywrightHome",""
"unknown","Thu May 30 18:10:40 GMT 2024","Thu May 30 18:10:40 GMT 2024","0","Surefire suite","Surefire test","com.luma.selenium.CartTest","com.luma.selenium.CartTest","testCartQuantity","testCartQuantity",""
"passed","Thu May 30 18:12:50 GMT 2024","Thu May 30 18:12:51 GMT 2024","1155","Surefire suite","Surefire test","com.luma.selenium.MainPageTest","com.luma.selenium.MainPageTest","testMainPageElements","testMainPageElements",""
